mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	12/8	2	2	1/16	1/16	1		3	45	A2	2	15
1	1	1/4	0.25	1/16	1/16	12/8	2	2	1/16	1/16	1		7	49	C#3	3	16
1	1	1/2	0.25	1/8	1/8	12/8	2	2	1/16	1/16	1		4	52	E3	3	17
1	1	3/4	0.25	3/16	3/16	12/8	2	1	1/16	1/16	1		3	57	A3	3	9
1	1	1	0.25	1/4	1/4	12/8	2	1	1/16	1/16	1		8	56	G#3	3	10
1	1	5/4	0.25	5/16	5/16	12/8	2	1	1/16	1/16	1		6	54	F#3	3	11
1	1	3/2	0.25	3/8	3/8	12/8	2	2	1/16	1/16	1		4	52	E3	3	18
1	1	7/4	0.25	7/16	7/16	12/8	2	2	1/16	1/16	1		8	56	G#3	3	19
1	1	2	0.25	1/2	1/2	12/8	2	2	1/16	1/16	1		5	59	B3	3	20
1	1	9/4	0.25	9/16	9/16	12/8	2	1	1/16	1/16	1		2	62	D4	4	12
1	1	5/2	0.25	5/8	5/8	12/8	2	1	1/16	1/16	1		7	61	C#4	4	13
1	1	11/4	0.25	11/16	11/16	12/8	2	1	1/16	1/16	1		5	59	B3	3	14
1	1	3	0.25	3/4	3/4	12/8	2	2	1/16	1/16	1		3	57	A3	3	21
1	1	13/4	0.25	13/16	13/16	12/8	2	2	1/16	1/16	1		7	61	C#4	4	22
1	1	7/2	0.25	7/8	7/8	12/8	2	2	1/16	1/16	1		4	64	E4	4	23
1	1	15/4	0.25	15/16	15/16	12/8	1	1	1/16	1/16	1		3	69	A4	4	0
1	1	4	0.25	1	1	12/8	1	1	1/16	1/16	1		8	68	G#4	4	1
1	1	17/4	0.25	17/16	17/16	12/8	1	1	1/16	1/16	1		6	66	F#4	4	2
1	1	9/2	0.25	9/8	9/8	12/8	1	2	1/16	1/16	1		4	64	E4	4	6
1	1	19/4	0.25	19/16	19/16	12/8	1	2	1/16	1/16	1		8	68	G#4	4	7
1	1	5	0.25	5/4	5/4	12/8	1	2	1/16	1/16	1		5	71	B4	4	8
1	1	21/4	0.25	21/16	21/16	12/8	1	1	1/16	1/16	1		2	74	D5	5	3
1	1	11/2	0.25	11/8	11/8	12/8	1	1	1/16	1/16	1		7	73	C#5	5	4
1	1	23/4	0.25	23/16	23/16	12/8	1	1	1/16	1/16	1		5	71	B4	4	5
2	2	6	0.25	0	0	12/8	1	2	1/16	1/16	1		3	69	A4	4	34
2	2	25/4	0.25	1/16	1/16	12/8	1	2	1/16	1/16	1		5	71	B4	4	35
2	2	13/2	0.25	1/8	1/8	12/8	1	2	1/16	1/16	1		7	73	C#5	5	36
2	2	27/4	0.25	3/16	3/16	12/8	1	2	1/16	1/16	1		2	74	D5	5	37
2	2	7	0.25	1/4	1/4	12/8	1	1	1/16	1/16	1		4	76	E5	5	24
2	2	29/4	0.25	5/16	5/16	12/8	1	1	1/16	1/16	1		6	78	F#5	5	25
2	2	15/2	0.25	3/8	3/8	12/8	1	1	1/16	1/16	1		8	80	G#5	5	26
2	2	31/4	0.25	7/16	7/16	12/8	1	1	1/16	1/16	1		3	81	A5	5	27
2	2	8	0.25	1/2	1/2	12/8	1	1	1/16	1/16	1		5	83	B5	5	28
2	2	33/4	0.25	9/16	9/16	12/8	1	1	1/16	1/16	1		8	80	G#5	5	29
2	2	17/2	0.25	5/8	5/8	12/8	1	1	1/16	1/16	1		4	76	E5	5	30
2	2	35/4	0.25	11/16	11/16	12/8	1	1	1/16	1/16	1		8	80	G#5	5	31
