mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-3	3/4	3/4	0	firstMeasure					2
2	2	-3	3/4	3/4	0						3
3	3	-3	3/4	3/4	0						4
4	4	-3	3/4	3/4	0						5
5	5	-3	3/4	3/4	0						6
6	6	-3	3/4	3/4	0						7
7	7	-3	3/4	3/4	0						8, 9
8	8	-3	3/4	3/4	0	endRepeat	1				1
9	8	-3	3/4	3/4	0		2			1	10
10	9	-3	3/4	3/4	0	startRepeat		start-repeat			11
11	10	-3	3/4	3/4	0						12
12	11	-3	3/4	3/4	0						13
13	12	-3	3/4	3/4	0						14
14	13	-3	3/4	3/4	0						15
15	14	-3	3/4	3/4	0						16
16	15	-3	3/4	3/4	0						17, 18
17	16	-3	3/4	3/4	0	endRepeat	1				10
18	16	-3	3/4	3/4	0	lastMeasure	2	end		1	-1
