mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	1	4/4	1/16	15/16	firstMeasure				1	2
2	1	1	4/4	1	0	startRepeat					3
3	2	1	4/4	1	0						4
4	3	1	4/4	1	0						5
5	4	1	4/4	1	0						6
6	5	1	4/4	1	0						7
7	6	1	4/4	1	0						8
8	7	1	4/4	1	0						9
9	8	1	4/4	1	0						10
10	9	1	4/4	1	0						11
11	10	1	4/4	1	0						12
12	11	1	4/4	1	0						13, 14
13	12	1	4/4	1	0	endRepeat	1				2
14	12	1	4/4	15/16	0		2	double		1	15
15	12	1	4/4	1/16	15/16					1	16
16	13	1	4/4	1	0						17
17	14	1	4/4	1	0						18
18	15	1	4/4	1	0						19
19	16	1	4/4	1	0						20
20	17	1	4/4	1	0						21
21	18	1	4/4	1	0						22
22	19	1	4/4	1	0						23
23	20	1	4/4	1	0						24
24	21	1	4/4	1	0						25
25	22	1	4/4	1	0						26
26	23	1	4/4	1	0						27
27	24	1	4/4	15/16	0	endRepeat					15, -1
