mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	2	4/4	3/16	13/16			1			firstMeasure	2
2	1	2	4/4	1	0							3
3	2	2	4/4	1	0					line		4
4	3	2	4/4	1	0							5
5	4	2	4/4	1	0					line		6
6	5	2	4/4	1	0							7
7	6	2	4/4	1	0					line		8
8	7	2	4/4	1	0							9
9	8	2	4/4	1	0					line		10
10	9	2	4/4	1	0							11
11	10	2	4/4	1	0					line		12
12	11	2	4/4	1	0							13
13	12	2	4/4	13/16	0					line	end	1, 14
14	12	2	4/4	3/16	13/16			1	start-repeat		start	15
15	13	2	4/4	1	0							16
16	14	2	4/4	1	0					line		17
17	15	2	4/4	1	0							18
18	16	2	4/4	1	0					line		19
19	17	2	4/4	1	0							20
20	18	2	4/4	1	0					line		21
21	19	2	4/4	1	0							22
22	20	2	4/4	1	0					line		23
23	21	2	4/4	1	0							24
24	22	2	4/4	1	0					line		25
25	23	2	4/4	1	0							26
26	24	2	4/4	13/16	0					line	end	14, -1
