mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-1	3/2	1/8	11/8	3	firstMeasure				1	2
2	1	-1	3/2	3/2	0	3						3
3	2	-1	3/2	3/2	0	3						4
4	3	-1	3/2	3/2	0	2						5
5	4	-1	3/2	3/2	0	2						6
6	5	-1	3/2	3/2	0	2						7
7	6	-1	3/2	3/2	0	2						8
8	7	-1	3/2	3/2	0	2						9
9	8	-1	3/2	3/2	0	3						10
10	9	-1	3/2	3/2	0	3						11
11	10	-1	3/2	3/2	0	3						12
12	11	-1	3/2	3/2	0	2						13
13	12	-1	3/2	3/2	0	2						14
14	13	-1	3/2	3/2	0	2						15
15	14	-1	3/2	3/2	0	4						16
16	15	-1	3/2	3/2	0	4						17
17	16	-1	3/2	11/8	0	4	endRepeat					1, 18
18	16	-1	3/2	1/8	11/8	3	startRepeat		start-repeat		1	19
19	17	-1	3/2	3/2	0	3						20
20	18	-1	3/2	3/2	0	3						21
21	19	-1	3/2	3/2	0	3						22
22	20	-1	3/2	3/2	0	3						23
23	21	-1	3/2	3/2	0	3						24
24	22	-1	3/2	3/2	0	3						25
25	23	-1	3/2	3/2	0	3						26
26	24	-1	3/2	3/2	0	3						27
27	25	-1	3/2	3/2	0	3						28
28	26	-1	3/2	3/2	0	3						29
29	27	-1	3/2	3/2	0	2						30
30	28	-1	3/2	3/2	0	2						31
31	29	-1	3/2	3/2	0	2						32
32	30	-1	3/2	3/2	0	5						33
33	31	-1	3/2	3/2	0	5						34
34	32	-1	3/2	11/8	0	5	lastMeasure		end			18
