mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12/16	2	1		d.i[i	d	i	i	i	i							m	1	1	0, -3, 1		0	0
1	1	3/16	3/16	12/16	2	1		#viio6	d	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	3/8	3/8	12/16	2	1		i6	d	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	9/16	9/16	12/16	2	1		iio6	d	i	i	iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	0	0	12/16	2	1		i]	d	i	i	i	i							m	1	1	0, -3, 1		0	0
2	2	3/16	3/16	12/16	2	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	3/8	3/8	12/16	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	9/16	9/16	12/16	2	1		#viio/v	d	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
3	3	0	0	12/16	2	1		v[v	d	i	v	v	v							m	1	1	1, -2, 2		1	1
3	3	3/16	3/16	12/16	2	1		#viio6/v	d	i	v	#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
3	3	3/8	3/8	12/16	2	1		v6	d	i	v	v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	9/16	9/16	12/16	2	1		iio6/v	d	i	v	iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
4	4	0	0	12/16	2	1		v]	d	i	v	v	v							m	1	1	1, -2, 2		1	1
4	4	3/16	3/16	12/16	2	1		iv/v	d	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
4	4	3/8	3/8	12/16	2	1		v	d	i		v	v							m	1	1	1, -2, 2		1	1
4	4	9/16	9/16	12/16	2	1		#viio7/ii	d	i		#viio7/ii	#vii	o	7		ii			o7	1	1	7, 4, 1, -2		7	7
5	5	0	0	12/16	2	1		ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
5	5	3/16	3/16	12/16	2	1		#viio43/iv	d	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
5	5	3/8	3/8	12/16	2	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	9/16	9/16	12/16	2	1		#viio7	d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
6	6	0	0	12/16	2	1		i[i	d	i	i	i	i							m	1	1	0, -3, 1		0	0
