mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1		d.i[i6		d	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	1	1.0	1/4	1/4	3/4	2	1		iio6		d	i	i	iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
1	1	2	1.0	1/2	1/2	3/4	2	1		i64		d	i	i	i64	i		64					m	1	1	1, 0, -3		0	1
2	2	3	1.0	0	0	3/4	2	1		iv		d	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	4	1.0	1/4	1/4	3/4	2	1		#viio6		d	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	5	1.0	1/2	1/2	3/4	2	1		i6]		d	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	6	0.5	0	0	3/4	2	1		iv65		d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
3	3	13/2	0.5	1/8	1/8	3/4	2	1		iio64		d	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
3	3	7	0.5	1/4	1/4	3/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	15/2	0.5	3/8	3/8	3/4	2	1		#viio2		d	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
3	3	8	0.5	1/2	1/2	3/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	17/2	0.5	5/8	5/8	3/4	2	1		iio64		d	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
4	4	9	0.5	0	0	3/4	2	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
4	4	19/2	2.0	1/8	1/8	3/4	2	1		V\\		d	i		V	V						\\	M	1	1	1, 5, 2		1	1
4	4	23/2	0.5	5/8	5/8	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	12	1.0	0	0	3/4	2	1		III[i		d	i	III	i	i							m	1	1	0, -3, 1		0	0
5	5	13	1.5	1/4	1/4	3/4	2	1		v6		d	i	III	v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	29/2	0.5	5/8	5/8	3/4	2	1		v		d	i	III	v	v							m	1	1	1, -2, 2		1	1
6	6	15	1.0	0	0	3/4	2	1		#viio/v]		d	i	III	#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
6	6	16	1.0	1/4	1/4	3/4	2	1		V(11)/v		d	i		V(11)/v	V			11	v			M	1	1	2, 6, 3	1	2	2
6	6	17	1.0	1/2	1/2	3/4	2	1		#viio64/v		d	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
7	7	18	1.0	0	0	3/4	2	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	7	19	0.5	1/4	1/4	3/4	2	1		iv/v		d	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
7	7	39/2	0.5	3/8	3/8	3/4	2	1		iv7/v		d	i		iv7/v	iv		7		v			mm7	1	1	0, -3, 1, -2		0	0
7	7	20	1.0	1/2	1/2	3/4	2	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
8	8			0	0	3/4	2	1	1	v\\		d	i		v	v						\\	m	1	1	1, -2, 2		1	1
8	8			1/2	1/2	3/4	2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
9	8	21	3.0	0	0	3/4	2	1	2	v\\		d	i		v	v						\\	m	1	1	1, -2, 2		1	1
10	9	24	1.0	0	0	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	9	25	1.0	1/4	1/4	3/4	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
10	9	26	1.0	1/2	1/2	3/4	2	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
11	10	27	1.0	0	0	3/4	2	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
11	10	28	1.0	1/4	1/4	3/4	2	1		iio(+2)		d	i		iio(+2)	ii	o		+2				o	1	1	2, -1, -4	-3	2	2
11	10	29	1.0	1/2	1/2	3/4	2	1		i6	III	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	11	30	0.5	0	0	3/4	2	1		iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
12	11	61/2	0.5	1/8	1/8	3/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	11	31	2.0	1/4	1/4	3/4	2	1		viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
13	12	33	0.5	0	0	3/4	2	1		V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
13	12	67/2	1.5	1/8	1/8	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
13	12	35	1.0	1/2	1/2	3/4	2	1		V65/III		d	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
14	13	36	1.0	0	0	3/4	2	1		V2/VI		d	i		V2/VI	V		2		VI			Mm7	1	1	-5, -3, 1, -2		-3	-5
14	13	37	0.5	1/4	1/4	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	13	75/2	0.5	3/8	3/8	3/4	2	1		iio(+2)		d	i		iio(+2)	ii	o		+2				o	1	1	2, -1, -4	-3	2	2
14	13	38	2.0	1/2	1/2	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
15	14	40	0.5	1/4	1/4	3/4	2	1		V7(4)/III		d	i		V7(4)/III	V		7	4	III			Mm7	1	1	-2, -3, -1, -4		-2	-2
15	14	81/2	0.5	3/8	3/8	3/4	2	1		viio64(+2)/III		d	i		viio64(+2)/III	vii	o	64	+2	III			o	1	1	-4, 2, -1	-3	2	-4
15	14	41	2.0	1/2	1/2	3/4	2	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
16	15	43	1.0	1/4	1/4	3/4	2	1		ii6/III		d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
16	15	44	1.0	1/2	1/2	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
17	16	45	2.0	0	0	3/4	2	1		III\\		d	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
