quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	3/4	2/2	2	1		G.I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	2.0	2	1	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
3	2.0	2	1	1/2	1/2	2/2	2	1		viio	G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
5	2.0	3	2	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
7	1.0	3	2	1/2	1/2	2/2	2	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	1.0	3	2	3/4	3/4	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
9	1.0	4	3	0	0	2/2	2	1		IV64	G	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
10	1.0	4	3	1/4	1/4	2/2	2	1		ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	1.0	4	3	1/2	1/2	2/2	2	1		V64	G	I		V64	V		64					M	0	0	2, 1, 5		1	2
12	1.0	4	3	3/4	3/4	2/2	2	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
13	1.0	5	4	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
14	1.0	5	4	1/4	1/4	2/2	2	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
15	1.0	5	4	1/2	1/2	2/2	2	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	1.0	5	4	3/4	3/4	2/2	2	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
17	2.0	6	5	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
19	2.0	6	5	1/2	1/2	2/2	2	1		viio	G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
21	2.0	7	6	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
23	1.0	7	6	1/2	1/2	2/2	2	1		I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
24	1.0	7	6	3/4	3/4	2/2	2	1		I6(119)	G	I		I6(119)	I		6	119				M	0	0	4, 1, 0	-1, 2	0	4
25	1.0	8	7	0	0	2/2	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
26	1.0	8	7	1/4	1/4	2/2	2	1		viio/V	G	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
27	1.0	8	7	1/2	1/2	2/2	2	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
28	1.0	8	7	3/4	3/4	2/2	2	1		vi6/V	G	I		vi6/V	vi		6		V			m	0	0	1, 5, 4		4	1
29	1.0	9	8	0	0	2/2	2	1		ii/V	G	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
30	1.0	9	8	1/4	1/4	2/2	2	1		V/V	G	I		V/V	V				V			M	0	0	2, 6, 3		2	2
31	2.0	9	8	1/2	1/2	2/2	2	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
33	1.0	10	9	0	0	2/2	2	1		ii/V	G	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
34	1.0	10	9	1/4	1/4	2/2	2	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
35	2.0	10	9	1/2	1/2	2/2	2	1		V7/V	G	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
37	1.0	11	10	0	0	2/2	2	1		V	G	I		V	V							M	0	0	1, 5, 2		1	1
38	1.0	11	10	1/4	1/4	2/2	2	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
39	1.0	11	10	1/2	1/2	2/2	2	1		V\\	G	I		V	V						\\	M	0	0	1, 5, 2		1	1
40	1.0	12	10	0	3/4	2/2	2	1		V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
