mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	2/2	2	1		g.i	g	i		i	i							m	1	1	0, -3, 1		0	0
1	0	1	1.0	1/4	3/4	2/2	2	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
2	1	2	1.0	0	0	2/2	2	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
2	1	3	1.0	1/4	1/4	2/2	2	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	4	1.0	1/2	1/2	2/2	2	1		iio6	g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	1	5	1.0	3/4	3/4	2/2	2	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	2	6	2.0	0	0	2/2	2	1		VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
3	2	8	1.0	1/2	1/2	2/2	2	1		iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	9	1.0	3/4	3/4	2/2	2	1		iio	g	i		iio	ii	o						o	1	1	2, -1, -4		2	2
4	3	10	1.0	0	0	2/2	2	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	11	1.0	1/4	1/4	2/2	2	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	12	1.0	1/2	1/2	2/2	2	1		#viio(2)	g	i		#viio(2)	#vii	o		2				o	1	1	0, 2, -1		5	0
4	3	13	1.0	3/4	3/4	2/2	2	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
5	4	14	1.0	0	0	2/2	2	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	4	15	1.0	1/4	1/4	2/2	2	1		i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
5	4	16	1.0	1/2	1/2	2/2	2	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	4	17	1.0	3/4	3/4	2/2	2	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
6	5	18	1.0	0	0	2/2	2	1		i	g	i		i	i							m	1	1	0, -3, 1		0	0
6	5	19	1.0	1/4	1/4	2/2	2	1		i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	20	1.0	1/2	1/2	2/2	2	1		iio6	g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
6	5	21	1.0	3/4	3/4	2/2	2	1		V	g	i		V	V							M	1	1	1, 5, 2		1	1
7	6	22	1.5	0	0	2/2	2	1		VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	6	47/2	0.5	3/8	3/8	2/2	2	1		III6	g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
7	6	24	0.5	1/2	1/2	2/2	2	1		viio6/III	g	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
7	6	49/2	0.5	5/8	5/8	2/2	2	1		III	g	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	6	25	0.5	3/4	3/4	2/2	2	1		V6/III	g	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
7	6	51/2	0.5	7/8	7/8	2/2	2	1		IV6/III	g	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
8	7	26	1.0	0	0	2/2	2	1		V/III	g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	27	1.0	1/4	1/4	2/2	2	1		vi/III	g	i		vi/III	vi				III			m	1	1	0, -3, 1		0	0
8	7	28	1.0	1/2	1/2	2/2	2	1		ii6/III	g	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
8	7	29	1.0	3/4	3/4	2/2	2	1		V(6)/III	g	i		V(6)/III	V			6	III			M	1	1	-2, 2, 1		-2	-2
9	8			0	0	2/2	2	1	1	III\\	g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
10	8	30	3.0	0	0	2/2	2	1	2	III\\	g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
11	8	33	1.0	1/4	3/4	2/2	2	1		viio6/III	g	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
12	9	34	1.0	0	0	2/2	2	1		III6	g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
12	9	35	1.0	1/4	1/4	2/2	2	1		III	g	i		III	III							M	1	1	-3, 1, -2		-3	-3
