mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	2/2	2	1	d.i{						d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	0.75	0.0
1	0	1/4	3/4	2/2	2	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
2	1	0	0	2/2	2	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.1875	1.3125	0.125
2	1	1/2	1/2	2/2	2	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
2	1	3/4	3/4	2/2	2	1	iv7(9)						d	i		iv7(9)	iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	0	4	0.0	0.0	0.75	0.0
3	2	0	0	2/2	2	1	V/III						d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	2	12	0.14285714285714285	0.25	2.75	0.08333333333333333
4	3	0	0	2/2	2	1	V65						d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3	7	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
4	3	1/2	1/2	2/2	2	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	2	5	0.2857142857142857	0.25	1.0	0.2
4	3	7/8	7/8	2/2	2	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.25	0.0
5	4	0	0	2/2	2	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
5	4	1/4	1/4	2/2	2	1	i|PAC}						d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	2	3	0.4	0.25	0.5	0.3333333333333333
5	4	1/2	1/2	2/2	2	1	i6{						d	i		i6	i		6				{	m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	0.75	0.0
5	4	3/4	3/4	2/2	2	1	V7						d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	5	0.0	0.0	0.75	0.0
6	5	0	0	2/2	2	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.1875	1.3125	0.125
6	5	1/2	1/2	2/2	2	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
6	5	3/4	3/4	2/2	2	1	iv7(9)						d	i		iv7(9)	iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	0	4	0.0	0.0	0.75	0.0
7	6	0	0	2/2	2	1	V/III						d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	3	5	0.375	0.25	1.25	0.16666666666666666
7	6	1/2	1/2	2/2	2	1	v						d	i		v	v							m	1	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.375	1.125	0.25
8	7	0	0	2/2	2	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.25	1.0	0.2
