mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	A.I{	A	I		I	I						{	M	0	0	3, 7, 4		3	3	3	9	0.25	0.28125	3.21875	0.08035714285714286
2	2	0	0	3/4	2	1	V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	3, 7, 4, 1		3	3	2	6	0.25	0.25	1.75	0.125
2	2	1/4	1/4	3/4	2	1	IV64	A	I		IV64	IV		64					M	0	0	3, 2, 6		2	3	0	5	0.0	0.0	2.5	0.0
3	3	0	0	3/4	2	1	V43(4)	A	I		V43(4)	V		43	4				Mm7	0	0	5, 2, 4, 3		4	5	0	6	0.0	0.0	1.375	0.0
3	3	1/8	1/8	3/4	2	1	V43	A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	1	0.0	0.0	0.125	0.0
3	3	1/4	1/4	3/4	2	1	I6	A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	1.625	0.0
3	3	1/2	1/2	3/4	2	1	ii65	A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	0	3	0.0	0.0	0.75	0.0
3	3	5/8	5/8	3/4	2	1	ii6	A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	0	1	0.0	0.0	0.125	0.0
4	4	0	0	3/4	2	1	V|HC}	A	I		V	V					HC	}	M	0	0	4, 8, 5		4	4	4	7	0.36363636363636365	0.5	2.25	0.18181818181818182
5	5	0	0	3/4	2	1	V2/IV{	A	I		V2/IV	V		2		IV		{	Mm7	0	0	1, 3, 7, 4		3	1	3	7	0.3	0.28125	2.21875	0.1125
6	6	0	0	3/4	2	1	#viio7/ii	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	10, 7, 4, 1		10	10	0	4	0.0	0.0	1.125	0.0
6	6	1/8	1/8	3/4	2	1	V65/ii	A	I		V65/ii	V		65		ii			Mm7	0	0	10, 7, 4, 6		6	10	0	1	0.0	0.0	0.125	0.0
6	6	1/4	1/4	3/4	2	1	ii(9)	A	I		ii(9)	ii			9				m	0	0	5, 2, 6	7	5	5	0	4	0.0	0.0	0.625	0.0
6	6	1/2	1/2	3/4	2	1	viio	A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	0	2	0.0	0.0	0.5	0.0
6	6	5/8	5/8	3/4	2	1	V6	A	I		V6	V		6					M	0	0	8, 5, 4		4	8	0	1	0.0	0.0	0.125	0.0
7	7	0	0	3/4	2	1	I(94)	A	I		I(94)	I			94				M	0	0	3, 2, 4	5	3	3	2	6	0.25	0.09375	0.78125	0.10714285714285714
7	7	1/4	1/4	3/4	2	1	V64/V	A	I		V64/V	V		64		V			M	0	0	6, 5, 9		5	6	0	2	0.0	0.0	0.75	0.0
7	7	3/8	3/8	3/4	2	1	viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	6, 3, 9		9	6	0	1	0.0	0.0	0.125	0.0
7	7	1/2	1/2	3/4	2	1	V/V	A	I		V/V	V				V			M	0	0	5, 9, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	0	0	3/4	2	1	I(4)/V}	A	I		I(4)/V	I			4	V		}	M	0	0	4, 3, 5		4	4	2	4	0.3333333333333333	0.0625	1.3125	0.045454545454545456
8	8	1/4	1/4	3/4	2	1	I/V|PAC	A	I		I/V	I				V	PAC		M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	1.5	0.0
9	9	0	0	3/4	2	1	V2{	A	I		V2	V		2				{	Mm7	0	0	2, 4, 8, 5		4	2	3	7	0.3	0.28125	2.71875	0.09375
10	10	0	0	3/4	2	1	V65/IV	A	I		V65/IV	V		65		IV			Mm7	0	0	7, 4, 1, 3		3	7	2	4	0.3333333333333333	0.25	0.75	0.25
10	10	1/4	1/4	3/4	2	1	viio/IV	A	I		viio/IV	vii	o			IV			o	0	0	7, 4, 1		7	7	2	4	0.3333333333333333	0.125	1.125	0.1
10	10	1/2	1/2	3/4	2	1	#viio7/ii	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	10, 7, 4, 1		10	10	2	2	0.5	0.125	0.125	0.5
11	11	0	0	3/4	2	1	V65/ii	A	I		V65/ii	V		65		ii			Mm7	0	0	10, 7, 4, 6		6	10	1	7	0.125	0.03125	2.21875	0.013888888888888888
11	11	1/2	1/2	3/4	2	1	V6/ii	A	I		V6/ii	V		6		ii			M	0	0	10, 7, 6		6	10	1	2	0.3333333333333333	0.125	0.375	0.25
12	12	0	0	3/4	2	1	i/ii|IAC}	A	I		i/ii	i				ii	IAC	}	m	0	0	5, 2, 6		5	5	5	10	0.3333333333333333	0.5	2.625	0.16
12	12	1/2	1/2	3/4	2	1	VI/ii	A	I		VI/ii	VI				ii			M	0	0	1, 5, 2		1	1	2	3	0.4	0.09375	0.15625	0.375
13	13	0	0	3/4	2	1	bII6/ii{	A	I		bII6/ii	bII		6		ii		{	M	0	0	4, 1, 0		0	4	2	6	0.25	0.15625	1.34375	0.10416666666666667
